Overall average response time: 0.0085 seconds
Overall average response time: 0.0085 seconds
Overall average response time: 0.0087 seconds
29/04/2024 13:23:37 | Average: 0.0035583257675170905 | Min: 0.0014655113220214844 | Max: 0.0063525915145874025 | for 50 clients | run_time: 10 | probe_freq: 10
29/04/2024 15:41:40 | Average: 0.004000768661499023 | Min: 0.00239105224609375 | Max: 0.005221271514892578 | for 50 clients | run_time: 10 | probe_freq: 10
29/04/2024 15:45:25 | Average: 0.0016942102114359538 | Min: 0.00034244855244954425 | Max: 0.004436389605204264 | for 50 clients | run_time: 10 | probe_freq: 10
29/04/2024 16:31:59 | Average: 0.22536646182108386 | Min: 0.0003806511561075846 | Max: 4.099533319473267 | for 50 clients | run_time: 1 | probe_freq: 30
29/04/2024 16:39:18 | Average: 0.0016246153513590498 | Min: 0.00038900375366210935 | Max: 0.005583365758260091 | for 50 clients | run_time: 1 | probe_freq: 30
29/04/2024 16:46:17 | Average: 0.0025874522527058923 | Min: 0.0004508336385091146 | Max: 0.008474771181742351 | for 50 clients | run_time: 0.01 | probe_freq: 30
29/04/2024 17:11:56 | Average: 0.0016934194564819343 | Min: 0.00033266544342041015 | Max: 0.003712622324625651 | for 50 clients | run_time: 0.1 | probe_freq: 30
29/04/2024 19:15:32 | Average: 0.0022136156558990473 | Min: 0.0005721171696980794 | Max: 0.004251313209533691 | for 50 clients | run_time: 40 | probe_freq: 1
29/04/2024 19:31:54 | Average: 0.0017069864273071289 | Min: 0.0005580345789591471 | Max: 0.0043196519215901695 | for 50 clients | run_time: 40 | probe_freq: 1
29/04/2024 23:48:25 | Average: 0.001744212627410888 | Min: 0.00039179325103759765 | Max: 0.0040013631184895836 | for 50 clients | run_time: 0.1 | probe_freq: 30
30/04/2024 01:01:08 | Average: 0.0015047194957733157 | Min: 0.0003320455551147461 | Max: 0.002934837341308594 | for 50 clients | run_time: 40 | probe_freq: 5
30/04/2024 01:19:25 | Average: 0.0016251176993052163 | Min: 0.00034762223561604817 | Max: 0.0030889272689819335 | for 50 clients | run_time: 40 | probe_freq: 5
30/04/2024 01:22:21 | Average: 0.0018701022863388058 | Min: 0.0003258466720581055 | Max: 0.004955665270487467 | for 50 clients | run_time: 40 | probe_freq: 5
30/04/2024 01:24:42 | Average: 0.0017550977071126308 | Min: 0.0004147211710611979 | Max: 0.0035491307576497396 | for 50 clients | run_time: 40 | probe_freq: 5
30/04/2024 01:26:23 | Average: 0.0014421166976292927 | Min: 0.00040235519409179685 | Max: 0.002771449089050293 | for 50 clients | run_time: 40 | probe_freq: 5
30/04/2024 01:28:18 | Average: 0.0014459590117136638 | Min: 0.0006247917811075846 | Max: 0.0020983139673868816 | for 50 clients | run_time: 40 | probe_freq: 5
30/04/2024 01:29:33 | Average: 0.001359283129374186 | Min: 0.0004075129826863607 | Max: 0.001696316401163737 | for 50 clients | run_time: 40 | probe_freq: 5
30/04/2024 01:30:47 | Average: 0.0010716040929158528 | Min: 0.0008648077646891277 | Max: 0.0013219992319742839 | for 50 clients | run_time: 40 | probe_freq: 504/05/2024 00:40:22 | Average: 0.0012875763575236003 | Min: 0.00035239855448404946 | Max: 0.0019640684127807616 | for 50 clients | run_time: 1 | probe_freq: 5
